0:0:0:0:0:0:0:1 - - [05/Aug/2018:09:41:45 +1000] "GET /FlightPub-0.1 HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [05/Aug/2018:09:42:19 +1000] "GET /FlightPub-test/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:09:42:19 +1000] "GET /FlightPub-test/search HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [05/Aug/2018:09:42:19 +1000] "GET /FlightPub-test/css/style.css HTTP/1.1" 200 3947
0:0:0:0:0:0:0:1 - - [05/Aug/2018:09:42:19 +1000] "GET /FlightPub-test/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [05/Aug/2018:09:42:19 +1000] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Aug/2018:09:42:21 +1000] "GET /FlightPub-test/results?flightType=return&departureAirport=&arrivalAirport=&departureDate=&returnDate=&passengers=&flightClass=economy HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [05/Aug/2018:09:42:21 +1000] "GET /FlightPub-test/css/style.css HTTP/1.1" 200 3947
0:0:0:0:0:0:0:1 - - [05/Aug/2018:09:42:21 +1000] "GET /FlightPub-test/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [05/Aug/2018:09:42:21 +1000] "GET /FlightPub-test/js/script.js HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [05/Aug/2018:09:42:21 +1000] "GET /FlightPub-test/normal-results HTTP/1.1" 200 33939
0:0:0:0:0:0:0:1 - - [05/Aug/2018:09:42:21 +1000] "GET /FlightPub-test/img/placeholder.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:47:09 +1000] "GET /FlightPub-test/purchase-history HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:47:09 +1000] "GET /FlightPub-test/login HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:47:13 +1000] "GET /FlightPub-test/login HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:47:13 +1000] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:47:15 +1000] "GET /FlightPub-test/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:47:15 +1000] "GET /FlightPub-test/search HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:47:15 +1000] "GET /FlightPub-test/css/style.css HTTP/1.1" 200 3947
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:47:15 +1000] "GET /FlightPub-test/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:48:00 +1000] "GET /FlightPub-test/l HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:48:02 +1000] "GET /FlightPub-test/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:48:02 +1000] "GET /FlightPub-test/search HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:48:02 +1000] "GET /FlightPub-test/img/flightpub-logo.png HTTP/1.1" 200 3641
