0:0:0:0:0:0:0:1 - - [17/Aug/2018:06:56:56 +1000] "GET /FlightPub-0.1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:06:56:58 +1000] "GET /FlightPub-0.1/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:06:56:59 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [17/Aug/2018:06:56:59 +1000] "GET /FlightPub-0.1/search HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [17/Aug/2018:06:56:59 +1000] "GET /FlightPub-0.1/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [17/Aug/2018:06:57:07 +1000] "GET /FlightPub-0.1/results?flightType=return&departureAirport=&arrivalAirport=&departureDate=&returnDate=&passengers=&flightClass=economy HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [17/Aug/2018:06:57:07 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [17/Aug/2018:06:57:07 +1000] "GET /FlightPub-0.1/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [17/Aug/2018:06:57:07 +1000] "GET /FlightPub-0.1/js/script.js HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [17/Aug/2018:06:57:08 +1000] "GET /FlightPub-0.1/normal-results HTTP/1.1" 200 33669
0:0:0:0:0:0:0:1 - - [17/Aug/2018:06:57:08 +1000] "GET /FlightPub-0.1/img/AA.png HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [17/Aug/2018:06:57:12 +1000] "GET /FlightPub-0.1/search HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [17/Aug/2018:06:57:12 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [17/Aug/2018:08:32:27 +1000] "GET /FlightPub-0.1/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:08:32:28 +1000] "GET /FlightPub-0.1/search HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [17/Aug/2018:08:32:28 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [17/Aug/2018:08:32:28 +1000] "GET /FlightPub-0.1/img/flightpub-logo.png HTTP/1.1" 200 3641
