0:0:0:0:0:0:0:1 - - [04/Oct/2018:09:26:16 +1000] "GET /FlightPub-0.2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:09:26:17 +1000] "GET /FlightPub-0.2/ HTTP/1.1" 500 10432
0:0:0:0:0:0:0:1 - - [04/Oct/2018:09:26:17 +1000] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [04/Oct/2018:09:28:23 +1000] "GET /FlightPub-0.2/ HTTP/1.1" 500 10432
0:0:0:0:0:0:0:1 - - [04/Oct/2018:09:28:23 +1000] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [04/Oct/2018:09:28:26 +1000] "GET /FlightPub-0.2/ HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [04/Oct/2018:09:28:26 +1000] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [04/Oct/2018:09:28:28 +1000] "GET /FlightPub-0.2/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:09:28:29 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:09:28:29 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:09:28:29 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:09:28:29 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:44 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:44 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:44 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:44 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:44 +1000] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:45 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:46 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:46 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:46 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:47 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:47 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:47 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:47 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:48 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:48 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:48 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:48 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:50 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:50 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:50 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:50 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:52 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:52 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:52 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:52 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:53 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:53 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:53 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:53 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:56 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:56 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:56 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:26:56 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:00 +1000] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:00 +1000] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:00 +1000] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:00 +1000] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:00 +1000] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:00 +1000] "GET /bg-nav.png HTTP/1.1" 200 1401
