0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:31:37 +1100] "GET /FlightPub-0.2/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:31:38 +1100] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:31:38 +1100] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:31:38 +1100] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:31:38 +1100] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:44 +1100] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:44 +1100] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:44 +1100] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:44 +1100] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:44 +1100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:45 +1100] "GET /FlightPub-0.2/results?flightType=oneway&departureAirport=ATL&arrivalAirport=GIG&departureDate=2017-12-24&returnDate=&passengers=1&flightClass=ECO HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:45 +1100] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:45 +1100] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:45 +1100] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:45 +1100] "GET /FlightPub-0.2/recommendations?flightType=oneway&departureAirport=ATL&arrivalAirport=GIG&departureDate=2017-12-24&returnDate=&passengers=1&flightClass=ECO HTTP/1.1" 200 2644
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:45 +1100] "GET /FlightPub-0.2/normal-results?flightType=oneway&departureAirport=ATL&arrivalAirport=GIG&departureDate=2017-12-24&returnDate=&passengers=1&flightClass=ECO HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:45 +1100] "GET /FlightPub-0.2/img/AA.png HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:46 +1100] "GET /FlightPub-0.2/flight-details?id=10565,30564 HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:46 +1100] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:46 +1100] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [30/Oct/2018:18:33:46 +1100] "GET /FlightPub-0.2/book-ticket?id=10565,30564 HTTP/1.1" 200 3122
